epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,85.6758,0.90426,0.99105,0.93097,0.74467,0.75191,0.83193,0.59589,1.06719,0.8779,0.9507,0.000431256,0.000431256,0.000431256
102,86.4107,0.88262,1.0445,0.93919,0.69962,0.77494,0.81527,0.58845,1.10007,0.86732,0.95932,0.000428429,0.000428429,0.000428429
103,87.0713,0.99322,1.06021,0.93979,0.68868,0.90173,0.81672,0.57958,1.10713,0.88954,0.96146,0.000425601,0.000425601,0.000425601
104,87.6885,0.87648,0.93395,0.90965,0.74891,0.84754,0.84902,0.60993,1.07425,0.91047,0.95495,0.000422774,0.000422774,0.000422774
105,88.244,0.85202,0.98455,0.89525,0.74891,0.84754,0.84902,0.60993,1.07425,0.91047,0.95495,0.000419946,0.000419946,0.000419946
106,88.8503,0.83206,0.95122,0.90371,0.7847,0.85505,0.88994,0.6508,1.03822,0.88844,0.94795,0.000417119,0.000417119,0.000417119
107,89.4273,0.90095,1.01384,0.93229,0.65031,0.93238,0.88042,0.64782,1.03176,0.83657,0.93862,0.000414291,0.000414291,0.000414291
108,90.032,0.9213,1.03693,0.90207,0.82819,0.78892,0.87033,0.64229,1.04022,0.82331,0.93472,0.000411464,0.000411464,0.000411464
109,90.5983,0.8669,0.98157,0.89842,0.82819,0.78892,0.87033,0.64229,1.04022,0.82331,0.93472,0.000408636,0.000408636,0.000408636
110,91.2089,0.82148,0.93211,0.9062,0.81578,0.82353,0.86461,0.62924,1.04092,0.80844,0.93473,0.000405809,0.000405809,0.000405809
111,91.8143,0.89816,0.97267,0.92799,0.82624,0.81813,0.86603,0.61816,1.04367,0.78238,0.94004,0.000402982,0.000402982,0.000402982
112,92.4253,0.91301,0.9553,0.90511,0.8254,0.81769,0.88655,0.65133,1.02313,0.77272,0.94604,0.000400154,0.000400154,0.000400154
113,93.0064,1.01342,1.03343,0.97174,0.8254,0.81769,0.88655,0.65133,1.02313,0.77272,0.94604,0.000397327,0.000397327,0.000397327
114,93.5901,0.78019,0.85733,0.90322,0.7029,0.90794,0.89827,0.66444,1.03606,0.79764,0.95108,0.000394499,0.000394499,0.000394499
115,94.272,0.89728,0.96683,0.89359,0.90902,0.75812,0.87195,0.62464,1.05498,0.80247,0.95571,0.000391672,0.000391672,0.000391672
116,94.9368,0.83715,0.90454,0.89213,0.8807,0.76899,0.87196,0.62622,1.06363,0.80275,0.95653,0.000388844,0.000388844,0.000388844
117,95.5521,0.8597,0.87711,0.91726,0.8807,0.76899,0.87196,0.62622,1.06363,0.80275,0.95653,0.000386017,0.000386017,0.000386017
118,96.2479,0.83695,0.93421,0.90391,0.77619,0.80072,0.87831,0.63276,1.04978,0.79761,0.9478,0.00038319,0.00038319,0.00038319
119,97.0294,0.95802,0.98882,0.92038,0.75485,0.82227,0.87683,0.65022,1.02678,0.76671,0.93967,0.000380362,0.000380362,0.000380362
120,97.8861,0.85219,0.96531,0.87408,0.92312,0.73636,0.86828,0.64526,1.01804,0.76036,0.94223,0.000377535,0.000377535,0.000377535
121,98.688,0.87321,0.87628,0.92327,0.92312,0.73636,0.86828,0.64526,1.01804,0.76036,0.94223,0.000374707,0.000374707,0.000374707
122,99.4872,0.92318,0.90778,0.91278,0.94116,0.75225,0.863,0.62933,1.02668,0.74975,0.94365,0.00037188,0.00037188,0.00037188
123,100.313,0.88743,0.99717,0.92541,0.9279,0.7639,0.86493,0.63039,1.06024,0.75,0.94659,0.000369052,0.000369052,0.000369052
